Simulation Count,Average Cost,Error,Percent Error,,
371000,25530.743396,17.3467982638,0.0679447441,,
372000,25493.880914,19.5156837362,0.0765504625,,
373000,25515.954692,2.5580942638,0.0100254695,,
374000,25516.215508,2.8189102638,0.0110475249,,
375000,25528.1096,14.7130022638,0.0576345154,,
376000,25529.539362,16.1427642638,0.0632317099,,
377000,25507.89496,5.5016377362,0.0215683722,,
378000,25478.12672,35.2698777362,0.1384319896,,
379000,25547.51504,34.1184422638,0.1335489663,,
380000,25526.455263,13.0586652638,0.0511573782,,
381000,25514.638058,1.2414602638,0.0048656785,,
382000,25526.712304,13.3157062638,0.0521638122,,
383000,25520.540992,7.1443942638,0.0279946819,,
384000,25514.314844,0.9182462638,0.0035989454,,
385000,25494.917922,18.4786757362,0.0724798401,,
386000,25510.094041,3.3025567362,0.0129460783,,
387000,25533.221705,19.8251072638,0.0776443627,,
388000,25515.037371,1.6407732638,0.0064306128,,
389000,25497.663239,15.7333587362,0.0617051005,,
390000,25530.085128,16.6885302638,0.0653680949,,
391000,25499.394373,14.0022247362,0.0549119894,,
392000,25491.602551,21.7940467362,0.0854950045,,
393000,25500.96972,12.4268777362,0.0487310007,,
394000,25506.31802,7.0785777362,0.0277522523,,
395000,25501.920253,11.4763447362,0.0450018847,,
396000,25488.359596,25.0370017362,0.0982291608,,
397000,25482.764736,30.6318617362,0.1202061945,,
398000,25524.581156,11.1845582638,0.043818773,,
399000,25523.174687,9.7780892638,0.038310631,,
400000,25542.64875,29.2521522638,0.1145227832,,
401000,25486.515711,26.8808867362,0.1054710147,,
402000,25505.815174,7.5814237362,0.029724295,,
403000,25530.623325,17.2267272638,0.0674747618,,
404000,25526.837624,13.4410262638,0.0526544904,,
405000,25537.955309,24.5587112638,0.0961655347,,
406000,25497.152709,16.2438887362,0.0637086381,,
407000,25489.244717,24.1518807362,0.0947532224,,
408000,25509.689951,3.7066467362,0.014530348,,
409000,25503.927873,9.4687247362,0.0371265351,,
410000,25548.537073,35.1404752638,0.1375439821,,
411000,25515.631387,2.2347892638,0.0087585105,,
412000,25504.266019,9.1305787362,0.0358002019,,
413000,25532.929298,19.5327002638,0.0765000366,,
414000,25500.860386,12.5362117362,0.049159956,,
415000,25482.288193,31.1084047362,0.1220785375,,
416000,25517.030288,3.6336902638,0.0142402553,,
417000,25519.656115,6.2595172638,0.0245282195,,
418000,25516.109809,2.7132112638,0.0106333265,,
419000,25514.93389,1.5372922638,0.0060250686,,
420000,25526.923333,13.5267352638,0.0529900728,,
421000,25535.200475,21.8038772638,0.0853875312,,
422000,25501.193602,12.2029957362,0.0478526454,,
423000,25509.125768,4.2708297362,0.0167423603,,
424000,25546.319104,32.9225062638,0.1288737768,,
425000,25512.008471,1.3881267362,0.0054410719,,
426000,25503.857746,9.5388517362,0.0374016034,,
427000,25496.1363,17.2602977362,0.0676976995,,
428000,25511.706542,1.6900557362,0.0066246283,,
429000,25495.300699,18.0958987362,0.0709773889,,
430000,25519.664884,6.2682862638,0.0245625728,,
431000,25534.17471,20.7781122638,0.0813737374,,
432000,25554.947917,41.5513192638,0.1625959849,,
433000,25507.363048,6.0335497362,0.0236541493,,
434000,25520.440323,7.0437252638,0.0276003281,,
435000,25485.468736,27.9278617362,0.1095834729,,
436000,25554.954128,41.5575302638,0.1626202499,,
437000,25550.268192,36.8715942638,0.1443100088,,
438000,25521.236758,7.8401602638,0.0307201424,,
439000,25495.199089,18.1975087362,0.0713762174,,
440000,25524.923864,11.5272662638,0.0451608253,,
441000,25526.852608,13.4560102638,0.0527131585,,
442000,25509.794344,3.6022537362,0.0141210615,,
443000,25552.900677,39.5040792638,0.1545972403,,
444000,25520.665991,7.2693932638,0.02848434,,
445000,25510.064045,3.3325527362,0.0130636784,,
446000,25535.06704,21.6704422638,0.0848654215,,
447000,25520.572931,7.1763332638,0.0281197969,,
448000,25524.828125,11.4315272638,0.0447859128,,
449000,25486.062584,27.3340137362,0.1072508303,,
450000,25524.682444,11.2858462638,0.0442154228,,
451000,25560.912195,47.5155972638,0.1858916337,,
452000,25491.32854,22.0680577362,0.0865708419,,
453000,25513.985872,0.5892742638,0.0023096127,,
454000,25517.301322,3.9047242638,0.0153022618,,
455000,25512.272527,1.1240707362,0.004406,,
456000,25518.566009,5.1694112638,0.020257452,,
457000,25508.177243,5.2193547362,0.0204614963,,
458000,25511.621397,1.7752007362,0.0069584003,,
459000,25517.030937,3.6343392638,0.0142427984,,
460000,25518.363043,4.9664452638,0.0194622408,,
470000,25524.237872,10.8412742638,0.0424744289,,
471000,25525.141614,11.7450162638,0.0460135205,,
472000,25510.722034,2.6745637362,0.010484077,,
473000,25518.745877,5.3492792638,0.0209621558,,
474000,25539.720464,26.3238662638,0.1030702991,,
475000,25516.774737,3.3781392638,0.013238896,,
476000,25513.787185,0.3905872638,0.001530887,,
477000,25541.776101,28.3795032638,0.1111101403,,
478000,25533.135356,19.7387582638,0.0773064412,,
479000,25531.677453,18.2808552638,0.0716006823,,
480000,25526.295625,12.8990272638,0.0505323117,,
